x,y,z
609936.623934,267833.751472,-13310.305664
609962.285259,267832.205055,-13315.847656
609987.946583,267830.658638,-13321.389648
610013.669673,267828.918931,-13327.40625
610039.392763,267827.179224,-13333.422852
610065.189678,267825.240687,-13340.210938
610090.986593,267823.30215,-13346.999023
609327.934002,267837.716919,-13254.201172
609377.197733,267866.024461,-13250.13623
609402.455639,267866.72095,-13251.190918
609427.703591,267867.466864,-13251.910645
609452.967479,267868.002891,-13253.050781
609478.211068,267868.602774,-13253.923828
609503.483419,267868.970157,-13255.182129
609528.730013,267869.407842,-13256.17334
609554.019998,267869.582307,-13257.692383
609579.278886,267869.833879,-13258.937988
609604.595551,267869.799915,-13260.754883
609629.879228,267869.846964,-13262.429199
609655.224349,267869.60658,-13264.623047
609680.538746,267869.444883,-13266.788574
609705.919992,267868.995867,-13269.486328
609731.263333,267868.630863,-13272.047363
609756.687637,267867.964019,-13275.19043
609782.075264,267867.371533,-13278.257324
609807.542561,267866.490547,-13281.741699
609832.982238,267865.666964,-13285.415039
609858.502041,267864.574401,-13289.428711
609883.996638,267863.531446,-13293.622559
609909.581043,267862.220355,-13298.302246
609935.139265,267860.953652,-13303.117188
609960.800589,267859.407235,-13308.65918
609986.432088,267857.902621,-13314.300781
610012.155178,267856.162914,-13320.317383
610037.854258,267854.44794,-13326.395508
610063.651173,267852.509404,-13333.183594
610090.986593,267823.30215,-13346.999023
610090.986593,267823.30215,-13346.999023
610142.729573,267819.056829,-13362.024414
610142.729573,267819.056829,-13362.024414
610194.470364,267814.73464,-13375.052734
610194.470364,267814.73464,-13375.052734
610246.301337,267810.191606,-13388.579102
609325.470515,267890.81139,-13242.483398
609376.01747,267892.49648,-13243.969727
609401.265423,267893.242394,-13244.689453
609426.513375,267893.988309,-13245.40918
609451.756964,267894.588191,-13246.282227
609477.000553,267895.188074,-13247.155273
609502.247147,267895.625759,-13248.146484
609527.493741,267896.063444,-13249.137695
609552.752629,267896.315015,-13250.383301
609578.011518,267896.566587,-13251.628906
609603.295195,267896.613636,-13253.303223
609628.578871,267896.660685,-13254.977539
609653.893269,267896.498989,-13257.143066
609679.207666,267896.337293,-13259.308594
609704.551007,267895.972289,-13261.869629
609729.894348,267895.607285,-13264.430664
609755.281975,267895.014798,-13267.497559
609780.669602,267894.422312,-13270.564453
609806.109279,267893.598729,-13274.237793
609831.548956,267892.775147,-13277.911133
609857.043554,267891.732192,-13282.10498
609882.538151,267890.689237,-13286.298828
609908.096373,267889.422535,-13291.11377
609933.654595,267888.155832,-13295.928711
609959.286093,267886.651218,-13301.570313
609984.917592,267885.146604,-13307.211914
610010.616673,267883.431631,-13313.290039
610036.315753,267881.716657,-13319.368164
610062.093276,267879.791452,-13326.276855
610087.870799,267877.866247,-13333.185547
610113.707939,267875.778824,-13340.356934
610139.545079,267873.6914,-13347.52832
610165.440263,267871.454931,-13354.948242
610191.335447,267869.218463,-13362.368164
610217.279349,267866.865291,-13369.884766
610243.223252,267864.51212,-13377.401367
609325.470515,267890.81139,-13242.483398
609375.134168,267918.347062,-13237.739746
609400.38212,267919.092976,-13238.459473
609425.616912,267919.882453,-13239.030762
609450.860501,267920.482335,-13239.903809
609476.082279,267921.136168,-13240.584961
609501.328873,267921.573853,-13241.576172
609526.549402,267922.068582,-13242.414063
609551.80829,267922.320153,-13243.659668
609577.033763,267922.647302,-13244.76709
609602.31744,267922.694352,-13246.441406
609627.564326,267922.826214,-13247.950684
609652.878723,267922.664518,-13250.116211
609678.147428,267922.608281,-13252.087402
609703.490768,267922.243277,-13254.648438
609728.793329,267921.972148,-13257.130859
609754.180956,267921.379662,-13260.197754
609779.522151,267920.886077,-13263.167969
609804.961828,267920.062494,-13266.841309
609830.35126,267919.347771,-13270.30957
609855.845858,267918.304816,-13274.503418
609881.290965,267917.362223,-13278.536621
609906.849187,267916.09552,-13283.351563
609932.356374,267914.924753,-13287.964844
609957.987873,267913.420139,-13293.606445
609983.567673,267912.009774,-13298.893555
610009.266753,267910.2948,-13304.97168
610034.932817,267908.63413,-13311.20459
610060.71034,267906.708926,-13318.113281
610086.460157,267904.819023,-13325.172363
610112.297296,267902.731599,-13332.34375
610138.133276,267900.623773,-13340.181152
610164.02846,267898.387304,-13347.601074
610189.924257,267896.126741,-13355.644043
610215.868159,267893.773569,-13363.160645
610243.223252,267864.51212,-13377.401367
610243.223252,267864.51212,-13377.401367
610295.179065,267859.66604,-13391.936523
610295.179065,267859.66604,-13391.936523
610347.119619,267854.870874,-13404.765625
610347.119619,267854.870874,-13404.765625
610399.006195,267850.225958,-13415.25293
610399.006195,267850.225958,-13415.25293
610450.898142,267845.649266,-13424.708008
609323.748415,267942.374575,-13230.384766
609374.250865,267944.197643,-13231.509766
609399.485657,267944.98712,-13232.081055
609424.720449,267945.776597,-13232.652344
609449.942227,267946.430429,-13233.333496
609475.164005,267947.084262,-13234.014648
609500.384534,267947.578991,-13234.852539
609525.605062,267948.07372,-13235.69043
609550.830536,267948.400869,-13236.797852
609576.056009,267948.728018,-13237.905273
609601.302895,267948.859881,-13239.414551
609626.54978,267948.991744,-13240.923828
609651.818485,267948.935507,-13242.89502
609677.087189,267948.87927,-13244.866211
609702.38975,267948.608141,-13247.348633
609727.692311,267948.337012,-13249.831055
609753.033506,267947.843427,-13252.80127
609778.374701,267947.349842,-13255.771484
609803.764132,267946.635118,-13259.239746
609829.153564,267945.920395,-13262.708008
609854.598672,267944.977802,-13266.741211
609880.043779,267944.035209,-13270.774414
609905.550966,267942.864441,-13275.387695
609931.058153,267941.693674,-13280.000977
